source_id,nome_fonte,tag,categoria_origine,tipo_fonte,livello,regione,ij,focus_ij,website_url,facebook_url,fb_status_originale,fb_status_clean,verifica_gruppo,instagram_url,x_url,dove_controllare_fb,azione_successiva,priority_tier,pilot_score,fb_processing_priority,election_relevance,ij_relevance,banja_luka_relevance,doboj_relevance,credibility,bias_score,social_signal,influence,manipulation_risk,technical_access,data_completeness,note
RS_IJ_018,InfoBijeljina,lokalni/regionalni portal,IJ6 local,local_portal,RS,Bijeljina,IJ6,IJ6,https://www.infobijeljina.com/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/infobijeljina/,https://x.com/InfoBijeljina,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",1,0.778,0.7,0.75,0.9,0.02,0.05,0.6,0.45,0.8,0.65,0.5,0.85,1.0,Jak Semberija/Bijeljina lokalni izvor.
RS_IJ_005,Micro Mreža,lokalni/regionalni portal,IJ2 local,local_portal,RS,Gradiška/Srbac/Laktaši,IJ2,IJ2,https://micromreza.com/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/micromreza/,https://x.com/micro_mreza,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.749,0.67,0.72,0.85,0.1,0.05,0.66,0.45,0.75,0.55,0.4,0.8,1.0,Najvažniji regionalni izvor za IJ2.
RS_IJ_029,TrebinjeLive,lokalni/regionalni portal,IJ9 local,local_portal,RS,Trebinje/Hercegovina,IJ9,IJ9,https://trebinjelive.info/,,to_check,TO_CHECK,DA_VERIFICARE,,https://x.com/trebinjelive2,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.743,0.649,0.72,0.85,0.0,0.0,0.66,0.45,0.7,0.55,0.4,0.85,0.75,Jak lokalni portal za Trebinje i Hercegovinu.
RS_IJ_008,Prnjavor.info,lokalni/regionalni portal,IJ2 local,local_portal,RS,Prnjavor,IJ2,IJ2,https://www.prnjavor.info/,,to_check,TO_CHECK,DA_VERIFICARE,,https://x.com/PrnjavorInfo,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.729,0.661,0.68,0.8,0.05,0.02,0.65,0.45,0.75,0.55,0.4,0.8,0.4,Jak prnjavorski lokalni izvor.
RS_IJ_019,Dešavanja u Bijeljini,lokalni/regionalni portal,IJ6 local,local_portal,RS,Bijeljina,IJ6,IJ6,https://desavanjaubijeljini.com/,,to_check,TO_CHECK,DA_VERIFICARE,https://www.instagram.com/desavanjaubijeljini/,https://x.com/desavanjaubn,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.724,0.658,0.72,0.85,0.02,0.05,0.56,0.5,0.75,0.55,0.55,0.8,1.0,"Lokalni signal za Semberiju, dobar za social dinamiku."
RS_IJ_002,InfoPrijedor,lokalni/regionalni portal,IJ1 local,local_portal,RS,Prijedor,IJ1,IJ1,https://infoprijedor.ba/,https://www.facebook.com/infoprijedor.ba,✅ CONFERMATO,CONFERMATO,VERIFICATA,,,Facebook page URL from user list,Usare nel pilot; controllo periodico.,2,0.723,0.77,0.72,0.85,0.05,0.05,0.58,0.45,0.7,0.55,0.5,0.8,0.4,Lokalni Prijedor signal.
RS_IJ_025,Katera,lokalni/regionalni portal,IJ8 local,local_portal,RS,Istočno Sarajevo,IJ8,IJ8,https://katera.news/,https://www.facebook.com/katera.news,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.711,0.637,0.72,0.85,0.0,0.02,0.62,0.45,0.65,0.5,0.45,0.8,0.4,Važan portal za Istočno Sarajevo/Romaniju.
RS_IJ_003,Kozarski vjesnik,lokalni/regionalni portal,IJ1 local traditional,local_media,RS,Prijedor,IJ1,IJ1,https://kozarski.com/,https://www.facebook.com/kozarskivjesnikprijedor,✅ CONFERMATO,CONFERMATO,VERIFICATA,,,Facebook page URL from user list,Usare nel pilot; controllo periodico.,2,0.7,0.725,0.68,0.8,0.03,0.05,0.68,0.45,0.6,0.5,0.35,0.75,0.4,Tradicionalniji lokalni medij.
RS_IJ_021,Zvornički.ba,lokalni/regionalni portal,IJ7 local,local_portal,RS/BiH,Zvornik,IJ7,IJ7,https://zvornicki.ba/,https://www.facebook.com/zvornicki.ba,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.696,0.613,0.72,0.85,0.0,0.02,0.58,0.45,0.6,0.5,0.5,0.8,0.4,Ključan lokalni izvor za Zvornik/Podrinje.
RS_IJ_030,Direkt Portal,lokalni/regionalni portal,IJ9 local/political,local_portal,RS,Istočna Hercegovina,IJ9,IJ9,https://direkt-portal.com/,,to_check,TO_CHECK,DA_VERIFICARE,,https://x.com/direkt_portal,Manual Facebook search / official website social links,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.695,0.575,0.72,0.8,0.0,0.0,0.68,0.55,0.55,0.45,0.35,0.75,0.4,Dobar za lokalne afere i političke teme u Hercegovini.
RS_IJ_031,Herceg TV,lokalni/regionalni portal,IJ9 regional TV,local_tv,RS,Hercegovina,IJ9,IJ9,https://www.herceg.tv/,https://www.facebook.com/hercegtv,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.694,0.63,0.68,0.75,0.0,0.0,0.65,0.5,0.65,0.5,0.4,0.75,0.4,Regionalni TV/web signal za Hercegovinu.
RS_IJ_027,Spin Info,lokalni/regionalni portal,IJ8 local/political,local_portal,RS,Istočno Sarajevo,IJ8,IJ8,https://spin-portal.info/,https://www.facebook.com/spin.info,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.676,0.604,0.7,0.8,0.0,0.02,0.6,0.55,0.6,0.45,0.5,0.75,0.4,Dobro za lokalne afere i gradske sukobe.
RS_IJ_009,Derventski List,lokalni/regionalni portal,IJ4 local,local_media,RS,Derventa,IJ4,IJ4,https://derventskilist.net/,https://www.facebook.com/derventskil,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.673,0.603,0.65,0.8,0.02,0.25,0.62,0.45,0.6,0.45,0.35,0.7,0.4,Derventa lokalni medij; važan za IJ4.
RS_IJ_026,Palelive,lokalni/regionalni portal,IJ8 local,local_portal,RS,Pale/Istočno Sarajevo,IJ8,IJ8,https://www.palelive.com/,https://www.facebook.com/palelive,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,https://x.com/Palelive,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.669,0.601,0.68,0.8,0.0,0.02,0.58,0.45,0.6,0.45,0.45,0.75,0.6,Lokalni Pale/Istočno Sarajevo signal.
RS_IJ_010,Modričainfo,lokalni/regionalni portal,IJ4 local,local_portal,RS,Modriča,IJ4,IJ4,https://www.modricainfo.com/,https://www.facebook.com/modricainfo,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.665,0.634,0.65,0.8,0.02,0.25,0.55,0.45,0.7,0.45,0.5,0.7,0.4,"Modriča lokalni signal, FB važan."
RS_IJ_022,Zvornik Danas,lokalni/regionalni portal,IJ7 local,local_portal,RS,Zvornik,IJ7,IJ7,https://www.zvornikdanas.com/,https://www.facebook.com/zvornikdanas,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,https://x.com/ZvornikDanas,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.663,0.598,0.68,0.8,0.0,0.02,0.56,0.45,0.6,0.45,0.5,0.75,0.6,Dnevni informativni magazin za Zvornik i Birač.
BL_IJ3_004,Frontal.ba,medij/opšti izvor,political portal / opinion,analysis_portal,RS,Banja Luka/RS,IJ3/ALL,RS,https://www.frontal.ba/,https://www.facebook.com/frontal.ba,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",2,0.652,0.576,0.65,0.55,0.55,0.25,0.62,0.65,0.55,0.5,0.4,0.7,0.4,"Manji, ali signalno relevantan za politički stav i komentare."
RS_IJ_007,Radio Gradiška,lokalni/regionalni portal,IJ2 local radio,local_media,RS,Gradiška,IJ2,IJ2,https://radiogradiska.com/,https://www.facebook.com/radiogradiska,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",3,0.644,0.572,0.62,0.65,0.05,0.02,0.64,0.45,0.55,0.45,0.35,0.7,0.4,Gradiška lokalni radio/portal.
RS_IJ_006,Laktaši Info,ekonomija/institucije,IJ2 local,local_portal,RS,Laktaši,IJ2,IJ2,https://laktasi.info/,https://www.facebook.com/laktasi.info,⚠️ DA VERIFICARE,DA_VERIFICARE,DA_VERIFICARE,,,Facebook page URL from user list,"Aprire pagina, controllare autenticità, attività recente e collegamento col sito.",3,0.636,0.604,0.6,0.65,0.1,0.02,0.55,0.5,0.65,0.45,0.5,0.75,0.4,Lokalni Laktaši signal.
