source_id,name,category,source_type,level,region,ij_code,municipalities_focus,website_url,facebook_url,fb_status,instagram_url,ig_status,x_url,x_status,youtube_url,where_to_fish,preferred_ingestion,priority_tier,pilot_score,election_relevance,ij_relevance,banja_luka_relevance,doboj_relevance,credibility,bias_score,social_signal,influence,speed,originality,manipulation_risk,technical_access,data_completeness,notes
BL_IJ3_001,Srpskainfo,RS entitet / portal,media_portal,RS,Banja Luka/RS-wide,IJ3/ALL,Banja Luka; RS,https://srpskainfo.com/,https://www.facebook.com/srpskainfocom,confirmed_user,https://www.instagram.com/srpskainfo/,confirmed_user,https://x.com/Srpska_info,confirmed_user,,website; Facebook; Instagram; X,website/social,1,0.845,0.86,0.75,0.85,0.45,0.7,0.55,0.85,0.85,0.9,0.55,0.45,0.85,1.0,"Brzina, viralnost i dnevni narativ; dobar za detekciju tema."
RS_ENT_001,RTRS,RS entitet / institutional media,media_public,RS,RS-wide,ALL,RS,https://www.rtrs.tv/,https://www.facebook.com/rtrs.vijesti,confirmed_user,https://www.instagram.com/rtrsvijesti/,confirmed_user,https://x.com/RTRSvijesti,confirmed_user,,website; Facebook; Instagram; X; YouTube/TV clips,website/RSS/social,1,0.832,0.9,0.8,0.85,0.5,0.7,0.8,0.75,0.85,0.8,0.65,0.45,0.85,1.0,Institucionalni signal RS; posebno važan za narativ vlasti.
RS_ENT_002,ATV,RS entitet / TV portal,media_tv,RS,RS-wide,ALL,RS,https://www.atvbl.rs/,https://www.facebook.com/AtvBanjaluka,confirmed_user,https://www.instagram.com/atvbl/,confirmed_user,https://x.com/AtvBanjaluka,confirmed_user,,website; Facebook; Instagram; X; video,website/social,1,0.797,0.88,0.75,0.8,0.45,0.62,0.85,0.85,0.8,0.75,0.55,0.55,0.8,1.0,Jak TV/portal signal; provladin narativ.
BL_IJ3_002,Nezavisne novine,RS entitet / mainstream,media_portal,RS,Banja Luka/BiH,IJ3/ALL,Banja Luka; BiH,https://www.nezavisne.com/,https://www.facebook.com/NezavisneNovine,confirmed_user,,,https://x.com/NezavisneBL,confirmed_user,,website; Facebook; X,website/RSS/social,1,0.764,0.78,0.65,0.65,0.35,0.72,0.5,0.65,0.7,0.75,0.55,0.4,0.85,0.75,Mainstream dnevni izvor; stabilan signal.
BL_IJ3_003,Glas Srpske,RS entitet / mainstream,media_portal,RS,Banja Luka/RS-wide,IJ3/ALL,Banja Luka; RS,https://www.glassrpske.com/,https://www.facebook.com/glassrpske,confirmed_user,,,https://x.com/GlasSrpske,confirmed_user,,website; Facebook; X,website/social,1,0.724,0.75,0.65,0.6,0.3,0.68,0.65,0.6,0.65,0.7,0.55,0.45,0.8,0.75,Tradicionalni RS mainstream; institucionalniji ton.
POL_RS_001,SNSD,RS party / vlast,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS; Banja Luka,https://snsd.org/,https://www.facebook.com/snsd.milorad.dodik,confirmed_user,,,https://x.com/SNSDDodik,confirmed_user,,official website; Facebook; X; local city boards,official/social,1,0.824,0.95,0.85,0.85,0.8,0.5,1.0,0.85,0.95,0.8,0.9,0.75,0.65,0.75,Glavni faktor vlasti; pratiti centralno + GO Banja Luka/Doboj.
BL_IJ3_006,Banjaluka24,Banja Luka / IJ3 local FB-heavy,local_portal_fb,RS,Banja Luka,IJ3,Banja Luka,https://banjaluka-24.com/,https://www.facebook.com/banjaluka24portal,confirmed_user,https://www.instagram.com/banjaluka24portal/,confirmed_user,,,,website; Facebook page primary; Instagram candidate,facebook-first + website scrape,1,0.808,0.82,0.95,1.0,0.15,0.5,0.6,0.95,0.8,0.9,0.35,0.7,0.75,0.75,Vrlo jak FB engagement; web postoji; X nije prioritet.
BL_IJ3_012,Draško Stanivuković,political actor / mayor,political_actor,RS,Banja Luka,IJ3,Banja Luka,,,to_check,,,,,,Facebook/Instagram/X official profiles; press clips,social-first/manual,1,0.802,0.85,0.95,1.0,0.05,0.5,0.95,0.9,0.85,0.85,0.75,0.75,0.55,0.0,Lični profil gradonačelnika; visoka politička relevantnost za IJ3.
POL_RS_003,PDP,RS party / opposition,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS; Banja Luka,https://pdp.rs.ba/,https://www.facebook.com/pdprsrpska,confirmed_user,,,,,,official website; Facebook; Instagram; local boards,official/social,1,0.799,0.9,0.85,1.0,0.35,0.5,0.95,0.85,0.85,0.75,0.85,0.7,0.65,0.5,"Vrlo relevantan za Banja Luku/IJ3, gradonačelnik i gradska politika."
BL_IJ3_011,Grad Banja Luka,official local government,official_local,RS,Banja Luka,IJ3,Banja Luka,https://www.banjaluka.rs.ba/,https://www.facebook.com/gubanjaluka,confirmed_user,https://www.instagram.com/gubanjaluka/,confirmed_user,,,,official website; public notices; mayor/city Facebook,website/manual/social,1,0.78,0.7,0.9,1.0,0.05,0.85,0.65,0.55,0.75,0.5,0.9,0.25,0.65,0.75,Zvanični lokalni izvor; bitan za teme gradske uprave i lokalnih kriza.
BL_IJ3_007,BL Portal,Banja Luka / IJ3 local,local_portal,RS,Banja Luka,IJ3,Banja Luka,https://www.bl-portal.com/,https://www.facebook.com/blportal.banjaluka,confirmed_user,https://www.instagram.com/bl_portal/,confirmed_user,https://x.com/bl_portal,confirmed_user,,website; Facebook; Instagram; X,website/social,1,0.774,0.78,0.9,0.95,0.1,0.6,0.5,0.75,0.65,0.75,0.45,0.5,0.85,1.0,Dobar gradski puls; ima vidljive social kanale.
POL_RS_004,Ujedinjena Srpska,RS party / vlast,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS; Banja Luka,https://ujedinjenasrpska.rs/,https://www.facebook.com/najboljezasve,confirmed_user,,,,,,official website; Facebook; Instagram; local boards,official/social,1,0.714,0.82,0.75,0.75,0.55,0.45,0.95,0.75,0.7,0.65,0.75,0.7,0.6,0.5,Relevantan partner vlasti; pratiti centralno i lokalne odbore.
BL_IJ3_008,Banjaluka.net,Banja Luka / IJ3 local,local_portal,RS,Banja Luka,IJ3,Banja Luka,https://banjaluka.net/,https://www.facebook.com/Banjalukanet,confirmed_user,https://www.instagram.com/banjalukanet/,confirmed_user,https://x.com/BanjalukaNet,confirmed_user,,website; Facebook; Instagram; X; YouTube/Telegram if active,website/social,2,0.735,0.72,0.85,0.9,0.1,0.62,0.45,0.65,0.6,0.65,0.5,0.45,0.8,1.0,Lokalni gradski izvor; web footer pokazuje social kanale.
BL_IJ3_005,Buka,analysis / civic portal,analysis_portal,BiH/RS,Banja Luka/BiH,IJ3/ALL,Banja Luka; BiH,https://6yka.com/,https://www.facebook.com/BUKA.portal,confirmed_user,https://www.instagram.com/bukaportal/,confirmed_user,https://x.com/Buka_portal,confirmed_user,,website; Facebook; Instagram; X,website/social,2,0.734,0.7,0.6,0.65,0.25,0.72,0.7,0.7,0.65,0.6,0.75,0.35,0.75,1.0,Građanski/kritički signal; važno za urbane i opozicione narative.
POL_RS_011,Narodni front,RS party / opposition,party_official,RS,RS-wide/Banja Luka,ALL/IJ3,RS; Banja Luka,https://narodnifront.com/,https://www.facebook.com/NarodniFrontRS,confirmed_user,,,,,,official website; Facebook; Instagram; local boards,official/social,2,0.694,0.78,0.7,0.8,0.3,0.45,0.95,0.75,0.65,0.65,0.75,0.7,0.6,0.5,"Relevantan opozicioni faktor, posebno kroz Jelenu Trivić i BL narativ."
BL_IJ3_009,Banjaluka.com,Banja Luka / IJ3 local,local_portal,RS,Banja Luka,IJ3,Banja Luka,https://www.banjaluka.com/,https://www.facebook.com/banjaluka.com,✅ CONFERMATO,,,,,,website; Facebook; reader reports,website/social,2,0.677,0.65,0.75,0.85,0.1,0.58,0.4,0.55,0.55,0.6,0.45,0.45,0.75,0.4,Lokalni servisni portal; korisno za gradski signal i prijave čitalaca.
BL_IJ3_010,eTrafika,Banja Luka / civil society media,civil_media,RS/BiH,Banja Luka,IJ3,Banja Luka; BiH,https://etrafika.net/,https://www.facebook.com/eTrafika.net,confirmed_user,https://www.instagram.com/etrafika/,confirmed_user,https://x.com/eTrafika,confirmed_user,,website; Facebook; Instagram; X,website/social,2,0.663,0.62,0.55,0.65,0.05,0.78,0.5,0.5,0.45,0.45,0.75,0.25,0.75,1.0,"Društvene teme, ljudska prava, korupcija; manji volumen, dobar signal."
RS_IJ_013,Dobojski.info,IJ5 Doboj focus,local_portal,RS,Doboj,IJ5,Doboj; Doboj region,https://www.dobojski.info/,https://www.facebook.com/dobojski.info,confirmed_user,https://www.instagram.com/dobojskiinfo/,confirmed_user,,,,website; Facebook; Instagram candidate,website/social,1,0.81,0.82,0.95,0.02,1.0,0.62,0.45,0.8,0.7,0.75,0.55,0.45,0.8,0.75,Jak nezavisni portal u Doboju; naročito bitan za IJ5.
RS_IJ_017,Grad Doboj,official local government,official_local,RS,Doboj,IJ5,Doboj,https://doboj.gov.ba/,https://www.facebook.com/GradDoboj,confirmed_user,https://www.instagram.com/grad_doboj/,confirmed_user,,,,official website; city Facebook; mayor/city posts,website/manual/social,1,0.787,0.78,0.9,0.0,1.0,0.85,0.65,0.55,0.7,0.55,0.9,0.25,0.65,0.75,"Zvanični lokalni izvor; bitan za infrastrukturu, budžet, lokalne krize."
POL_RS_002,SDS,RS party / opposition,party_official,RS,RS-wide,ALL,RS,https://www.sdsrs.com/,https://www.facebook.com/srpskademokratskastranka,confirmed_user,,,,,,official website; Facebook; Instagram; local boards,official/social,1,0.781,0.9,0.85,0.45,0.8,0.5,0.95,0.75,0.85,0.7,0.85,0.7,0.65,0.5,Glavni opozicioni faktor; lokalno važan i za Doboj/Teslić/Prijedor.
RS_IJ_012,Glas Regije,IJ4/IJ5 regional Doboj,regional_portal,RS,Doboj region,IJ4/IJ5,Doboj; Šamac; Modriča; Teslić; Derventa; Petrovo; Stanari; Brod,https://glasregije.net/,https://www.facebook.com/glasregije,⚠️ DA VERIFICARE,,,,,,website; Facebook; regional pages,website/social,1,0.75,0.82,0.95,0.05,0.95,0.55,0.45,0.7,0.6,0.7,0.45,0.55,0.75,0.4,Ključan regionalni izvor za dobojsku regiju; pokriva više opština IJ4/IJ5.
RS_IJ_014,RTV Doboj,IJ5 Doboj official/local media,local_tv_radio,RS,Doboj,IJ5,Doboj,https://rtvdoboj.org/,https://www.facebook.com/rtvdoboj,⚠️ DA VERIFICARE,,,,,,website; Facebook; video/radio,website/social/video,1,0.741,0.78,0.9,0.02,0.95,0.65,0.5,0.65,0.55,0.6,0.55,0.4,0.75,0.4,Regionalna zemaljska i online radio/TV kuća; važan tradicionalni izvor.
RS_IJ_015,Granice Doboja,IJ5 Doboj regional,local_portal,RS,Doboj,IJ5,Doboj; region,https://granicedoboja.info/,https://www.facebook.com/GraniceDoboja.info,✅ TROVATO,,,,,,website; Facebook,website/social,2,0.642,0.65,0.8,0.01,0.85,0.5,0.45,0.6,0.45,0.55,0.35,0.55,0.7,0.4,Dopunski Doboj/regija signal.
RS_IJ_016,Teslić Danas,IJ5 Teslić,local_portal,RS,Teslić,IJ5,Teslić,https://teslicdanas.net/,https://www.facebook.com/teslicdanas,✅ TROVATO,,,,,,website; Facebook,website/social,2,0.623,0.65,0.8,0.0,0.7,0.5,0.45,0.55,0.4,0.55,0.35,0.55,0.65,0.4,Lokalni signal Teslić; bitan za IJ5 balans van Doboja.
RS_IJ_018,InfoBijeljina,IJ6 local,local_portal,RS,Bijeljina,IJ6,Bijeljina; Semberija,https://www.infobijeljina.com/,https://www.facebook.com/infobijeljina,confirmed_user,https://www.instagram.com/infobijeljina/,confirmed_user,https://x.com/InfoBijeljina,confirmed_user,,website; Facebook; Instagram; X,website/social,1,0.778,0.75,0.9,0.02,0.05,0.6,0.45,0.8,0.65,0.75,0.45,0.5,0.85,1.0,Jak Semberija/Bijeljina lokalni izvor.
RS_IJ_005,Micro Mreža,IJ2 local,local_portal,RS,Gradiška/Srbac/Laktaši,IJ2,Gradiška; Srbac; Laktaši,https://micromreza.com/,https://www.facebook.com/micromreza,confirmed_user,https://www.instagram.com/micromreza/,confirmed_user,https://x.com/micro_mreza,confirmed_user,,website; Facebook; Instagram; X,website/social,2,0.749,0.72,0.85,0.1,0.05,0.66,0.45,0.75,0.55,0.65,0.5,0.4,0.8,1.0,Najvažniji regionalni izvor za IJ2.
RS_IJ_029,TrebinjeLive,IJ9 local,local_portal,RS,Trebinje/Hercegovina,IJ9,Trebinje; Istočna Hercegovina,https://trebinjelive.info/,https://www.facebook.com/trebinjelive,confirmed_user,,,https://x.com/trebinjelive2,confirmed_user,,website; Facebook; X,website/social,2,0.743,0.72,0.85,0.0,0.0,0.66,0.45,0.7,0.55,0.65,0.45,0.4,0.85,0.75,Jak lokalni portal za Trebinje i Hercegovinu.
RS_IJ_008,Prnjavor.info,IJ2 local,local_portal,RS,Prnjavor,IJ2,Prnjavor,https://www.prnjavor.info/,,to_check,,,https://x.com/PrnjavorInfo,confirmed,,website; Facebook; X,website/social,2,0.729,0.68,0.8,0.05,0.02,0.65,0.45,0.75,0.55,0.6,0.45,0.4,0.8,0.4,Jak prnjavorski lokalni izvor.
RS_IJ_019,Dešavanja u Bijeljini,IJ6 local,local_portal,RS,Bijeljina,IJ6,Bijeljina; Semberija,https://desavanjaubijeljini.com/,https://www.facebook.com/desavanjaubijeljini,confirmed_user,https://www.instagram.com/desavanjaubijeljini/,confirmed_user,https://x.com/desavanjaubn,confirmed_user,,website; Facebook; Instagram; X,website/social,2,0.724,0.72,0.85,0.02,0.05,0.56,0.5,0.75,0.55,0.7,0.4,0.55,0.8,1.0,"Lokalni signal za Semberiju, dobar za social dinamiku."
RS_IJ_002,InfoPrijedor,IJ1 local,local_portal,RS,Prijedor,IJ1,Prijedor; Novi Grad; Kozarska Dubica,https://infoprijedor.ba/,https://www.facebook.com/infoprijedor.ba,✅ CONFERMATO,,,,,,website; Facebook,website/social,2,0.723,0.72,0.85,0.05,0.05,0.58,0.45,0.7,0.55,0.65,0.45,0.5,0.8,0.4,Lokalni Prijedor signal.
RS_IJ_025,Katera,IJ8 local,local_portal,RS,Istočno Sarajevo,IJ8,Istočno Sarajevo; Pale; Romanija,https://katera.news/,https://www.facebook.com/katera.news,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.711,0.72,0.85,0.0,0.02,0.62,0.45,0.65,0.5,0.6,0.45,0.45,0.8,0.4,Važan portal za Istočno Sarajevo/Romaniju.
RS_IJ_003,Kozarski vjesnik,IJ1 local traditional,local_media,RS,Prijedor,IJ1,Prijedor,https://kozarski.com/,https://www.facebook.com/kozarskivjesnikprijedor,✅ CONFERMATO,,,,,,website; Facebook,website/social,2,0.7,0.68,0.8,0.03,0.05,0.68,0.45,0.6,0.5,0.5,0.55,0.35,0.75,0.4,Tradicionalniji lokalni medij.
RS_IJ_021,Zvornički.ba,IJ7 local,local_portal,RS/BiH,Zvornik,IJ7,Zvornik; Podrinje,https://zvornicki.ba/,https://www.facebook.com/zvornicki.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.696,0.72,0.85,0.0,0.02,0.58,0.45,0.6,0.5,0.6,0.45,0.5,0.8,0.4,Ključan lokalni izvor za Zvornik/Podrinje.
RS_IJ_030,Direkt Portal,IJ9 local/political,local_portal,RS,Istočna Hercegovina,IJ9,Trebinje; Foča; Bileća; Berkovići,https://direkt-portal.com/,,to_check,,,https://x.com/direkt_portal,confirmed,,website; Facebook; X,website/social,2,0.695,0.72,0.8,0.0,0.0,0.68,0.55,0.55,0.45,0.55,0.6,0.35,0.75,0.4,Dobar za lokalne afere i političke teme u Hercegovini.
RS_IJ_031,Herceg TV,IJ9 regional TV,local_tv,RS,Hercegovina,IJ9,Trebinje; Bileća; Gacko; Nevesinje; Foča; Višegrad,https://www.herceg.tv/,https://www.facebook.com/hercegtv,⚠️ DA VERIFICARE,,,,,,website; Facebook; video,website/social/video,2,0.694,0.68,0.75,0.0,0.0,0.65,0.5,0.65,0.5,0.55,0.5,0.4,0.75,0.4,Regionalni TV/web signal za Hercegovinu.
RS_IJ_027,Spin Info,IJ8 local/political,local_portal,RS,Istočno Sarajevo,IJ8,Istočno Sarajevo,https://spin-portal.info/,https://www.facebook.com/spin.info,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.676,0.7,0.8,0.0,0.02,0.6,0.55,0.6,0.45,0.55,0.55,0.5,0.75,0.4,Dobro za lokalne afere i gradske sukobe.
RS_IJ_009,Derventski List,IJ4 local,local_media,RS,Derventa,IJ4,Derventa,https://derventskilist.net/,https://www.facebook.com/derventskil,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.673,0.65,0.8,0.02,0.25,0.62,0.45,0.6,0.45,0.45,0.55,0.35,0.7,0.4,Derventa lokalni medij; važan za IJ4.
RS_IJ_026,Palelive,IJ8 local,local_portal,RS,Pale/Istočno Sarajevo,IJ8,Pale; Istočno Sarajevo,https://www.palelive.com/,https://www.facebook.com/palelive,⚠️ DA VERIFICARE,,,https://x.com/Palelive,confirmed,,website; Facebook; X,website/social,2,0.669,0.68,0.8,0.0,0.02,0.58,0.45,0.6,0.45,0.55,0.4,0.45,0.75,0.6,Lokalni Pale/Istočno Sarajevo signal.
RS_IJ_010,Modričainfo,IJ4 local,local_portal,RS,Modriča,IJ4,Modriča,https://www.modricainfo.com/,https://www.facebook.com/modricainfo,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.665,0.65,0.8,0.02,0.25,0.55,0.45,0.7,0.45,0.55,0.35,0.5,0.7,0.4,"Modriča lokalni signal, FB važan."
RS_IJ_022,Zvornik Danas,IJ7 local,local_portal,RS,Zvornik,IJ7,Zvornik; Birač,https://www.zvornikdanas.com/,https://www.facebook.com/zvornikdanas,⚠️ DA VERIFICARE,,,https://x.com/ZvornikDanas,confirmed,,website; Facebook; X,website/social,2,0.663,0.68,0.8,0.0,0.02,0.56,0.45,0.6,0.45,0.55,0.4,0.5,0.75,0.6,Dnevni informativni magazin za Zvornik i Birač.
BL_IJ3_004,Frontal.ba,political portal / opinion,analysis_portal,RS,Banja Luka/RS,IJ3/ALL,Banja Luka; RS,https://www.frontal.ba/,https://www.facebook.com/frontal.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,2,0.652,0.65,0.55,0.55,0.25,0.62,0.65,0.55,0.5,0.55,0.7,0.4,0.7,0.4,"Manji, ali signalno relevantan za politički stav i komentare."
RS_IJ_007,Radio Gradiška,IJ2 local radio,local_media,RS,Gradiška,IJ2,Gradiška,https://radiogradiska.com/,https://www.facebook.com/radiogradiska,⚠️ DA VERIFICARE,,,,,,website; Facebook; radio/audio,website/social,3,0.644,0.62,0.65,0.05,0.02,0.64,0.45,0.55,0.45,0.5,0.45,0.35,0.7,0.4,Gradiška lokalni radio/portal.
RS_IJ_006,Laktaši Info,IJ2 local,local_portal,RS,Laktaši,IJ2,Laktaši,https://laktasi.info/,https://www.facebook.com/laktasi.info,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.636,0.6,0.65,0.1,0.02,0.55,0.5,0.65,0.45,0.55,0.35,0.5,0.75,0.4,Lokalni Laktaši signal.
RS_IJ_023,Drina Press,IJ7 local/civil,local_civil_media,RS/BiH,Srebrenica/Podrinje,IJ7,Srebrenica; Bratunac; Podrinje,https://www.drinapress.org/,https://www.facebook.com/drinapress,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.62,0.62,0.7,0.0,0.0,0.62,0.45,0.45,0.35,0.45,0.55,0.35,0.7,0.4,Osjetljiv lokalni signal za Srebrenicu/Podrinje.
RS_IJ_028,IS Radio,IJ8 local radio,local_media,RS,Istočno Sarajevo,IJ8,Istočno Sarajevo,https://is-radio.com/,https://www.facebook.com/isradio,⚠️ DA VERIFICARE,,,,,,website; Facebook; audio,website/social,3,0.611,0.58,0.65,0.0,0.01,0.64,0.45,0.5,0.35,0.45,0.45,0.35,0.7,0.4,Tradicionalniji kontrolni lokalni izvor.
RS_IJ_032,Trebinje Danas,IJ9 local,local_portal,RS,Trebinje,IJ9,Trebinje,https://trebinjedanas.com/,https://www.facebook.com/portal.trebinjedanas,✅ TROVATO,,,,,,website; Facebook,website/social,3,0.592,0.55,0.65,0.0,0.0,0.56,0.45,0.55,0.35,0.45,0.35,0.5,0.75,0.4,Dopunski gradski signal.
RS_IJ_004,PrijedorDanas,IJ1 local,local_portal,RS,Prijedor,IJ1,Prijedor,https://www.prijedordanas.com/,https://www.facebook.com/PrijedorDanasCom,✅ TROVATO,,,,,,website; Facebook,website/social,3,0.586,0.55,0.65,0.02,0.03,0.52,0.45,0.5,0.4,0.5,0.35,0.55,0.7,0.4,Dopunski lokalni signal.
RS_IJ_033,Bileća Online,IJ9 local,local_portal,RS,Bileća,IJ9,Bileća,https://bilecaonline.com/,https://www.facebook.com/bilecaonline,✅ TROVATO,,,,,,website; Facebook,website/social,3,0.584,0.55,0.65,0.0,0.0,0.55,0.45,0.5,0.35,0.45,0.35,0.45,0.7,0.4,Mikro-lokalni Bileća signal.
RS_IJ_011,Moj Brod,IJ4 local,local_portal,RS,Brod,IJ4,Brod,https://mojbrod.info/,https://www.facebook.com/mojbrod.info,✅ TROVATO,,,,,,website; Facebook,website/social,3,0.58,0.55,0.65,0.01,0.2,0.52,0.45,0.55,0.35,0.45,0.35,0.5,0.65,0.4,Mikro-lokalni izvor za Brod.
RS_IJ_024,UPSMedia,IJ7 local,local_portal,RS/BiH,Srebrenica/Bratunac,IJ7,Srebrenica; Bratunac,https://www.upsmedia.ba/,https://www.facebook.com/UPSMedia.ba,⚠️ DA VERIFICARE,,,,,,website; Facebook,website/social,3,0.58,0.55,0.65,0.0,0.0,0.55,0.45,0.5,0.35,0.45,0.35,0.45,0.65,0.4,Lokalni dopunski signal.
RS_IJ_020,Bijeljina.org / Bijeljina Danas,IJ6 local,local_portal,RS,Bijeljina,IJ6,Bijeljina,https://www.bijeljina.org/,https://www.facebook.com/bijeljinadanas,✅ TROVATO,,,,,,website; Facebook,website/social,3,0.566,0.55,0.65,0.0,0.02,0.5,0.4,0.45,0.35,0.45,0.35,0.5,0.65,0.4,Dopunski lokalni izvor.
BL_IJ3_013,Banjalučka berza,official/market,economic_market,RS,Banja Luka/RS,IJ3/ALL,Banja Luka; RS,https://www.blberza.com/,https://www.facebook.com/p/Banjalučka-berza-hartija-od-vrijednosti-100076396975113,✅ TROVATO,,,,,,website; Facebook; market data,website/manual,3,0.518,0.25,0.2,0.15,0.05,0.85,0.1,0.2,0.3,0.25,0.85,0.05,0.65,0.4,Kapitalno tržište RS; nišni ekonomski signal.
ECO_001,Capital.ba,economic / investigative RS,economic_media,RS,RS/BiH,ALL,RS; BiH,https://capital.ba/,https://www.facebook.com/portalcapital,confirmed_user,,,https://x.com/portal_CAPITAL,confirmed_user,,website; Facebook; X,website/social,1,0.759,0.68,0.65,0.45,0.55,0.78,0.55,0.65,0.65,0.65,0.85,0.3,0.8,0.75,"Ekonomske afere, javna preduzeća, tenderi; obavezan ekonomski sloj."
